A1-NOUN-1,A1,,"""<span class=""""das"""">das</span> Abenteuer [sound:googletts-2327e19e-b2eeb7cd-9c478025-615b8a3d-08406983.mp3]""",,Adventure [sound:googletts-80f5b263-51fbcffb-012f9b90-374b2e1e-678c4d1c.mp3],It was an adventure to explore this remote mountain.,"Es war ein Abenteuer, diesen abgelegenen Berg zu erkunden.",
A1-NOUN-2,A1,,"""<span class=""""das"""">das</span> Abitur [sound:googletts-e9cac8af-d3877109-7944e0ee-d2d62155-c7fd59d5.mp3]""",,High-School Diploma [sound:googletts-35a36e81-cab84400-77ca3f62-922e930c-8521bb64.mp3],"After my Abitur, I went to university.",Nach dem Abitur besuchte ich die Universität.,
A1-NOUN-3,A1,,"""<span class=""""das"""">das</span> Achteck [sound:googletts-54fc9e67-5dfa6645-a76dc7d2-9d7245a5-9c683b23.mp3]""",,Octagon [sound:googletts-e712b34e-0b52257a-4b1a1a84-fc78906f-4fb1823a.mp3],In the modern practice of Feng Shui octagon bagua is a tool for understanding the energy configuration,In der modernen Praxis des Feng Shui Achteck bagua ist ein Werkzeug für das Verständnis des Energie-Konfiguration,
A1-NOUN-4,A1,,"""<span class=""""das"""">das</span> Alphabet [sound:googletts-4df62586-803e3275-007aaea0-08d8e976-e3c4a81d.mp3]""",,Alphabet [sound:googletts-92140b9b-f9c1b7bd-469793af-3e1c363e-e7bb43a0.mp3],Am Ende des Schuljahres hatten die Kinder alle Buchstaben des Alphabets gelernt.,Am Ende des Schuljahres hatten die Kinder alle Buchstaben des Alphabets gelernt.,
A1-NOUN-5,A1,,"""<span class=""""das"""">das</span> Altenheim [sound:googletts-78fc50ef-97bb66fe-2d7dace5-96b78fe4-cdc7b53d.mp3]""",,Retirement Home [sound:googletts-2c05133e-f366e0d0-2d7f18b3-2607ae1a-372439c3.mp3],The old people's home St. Pauls is located in the center of the wine village and offers 24 double rooms and 32 single rooms 80 seniors,Das Altenheim St. Pauls liegt im Zentrum des Weindorfes und bietet mit 24 Doppelzimmern und 32 Einzelzimmer 80 Senioren,
A1-NOUN-6,A1,,"""<span class=""""das"""">das</span> Alter [sound:googletts-90c86a29-dd5abe11-fe7570e4-29f4b995-a6249b98.mp3]""",,Age [sound:googletts-778916f4-55df4e7b-648f7fcd-c14c72bc-0bcd2f46.mp3],He is very mature for his age.,Er ist für sein Alter sehr vernünftig.,
A1-NOUN-7,A1,,"""<span class=""""das"""">das</span> Amt [sound:googletts-57be7268-fb922f6b-8ce88e85-4ac3bc17-9c408551.mp3]""",,Department (Office) [sound:googletts-fc3639ab-1039d997-666cea2c-a96c48b8-55aa74c3.mp3],The current president remains in office until the next elections.,Bis zu den nächsten Wahlen bleibt der jetzige Präsident im Amt.,
A1-NOUN-8,A1,,"""<span class=""""das"""">das</span> Angebot [sound:googletts-b8785ceb-079f94e6-70c4fd99-c075c44f-1474a674.mp3]""",e,the offer [sound:googletts-8c476d11-b3999a0a-0f6eafe9-3bdc094b-8ea8c064.mp3],"Today, sports shoes are on offer.",Heute sind Sportschuhe im Angebot.,
A1-NOUN-9,A1,,"""<span class=""""das"""">das</span> Apartment [sound:googletts-876dad2c-f44939d7-7e5fb96e-07734095-a1a1ccf3.mp3]""",,Apartment [sound:googletts-d6a5e211-9afe3dc3-e2b6ba86-0dd75707-1677a0c1.mp3],My apartment is on the top floor of the building.,Meine Wohnung ist im obersten Stockwerk des Gebäudes.,
A1-NOUN-10,A1,,"""<span class=""""das"""">das</span> Auge [sound:googletts-9b19bf07-1e35b394-1672c334-9a582736-ee1a3bed.mp3]""",,the eye [sound:googletts-c2da3b08-26e7711b-df1c5529-906f51cf-1fd25ca9.mp3],He has blue eyes.,Er hat blaue Augen.,
