A1-VERB-1,A1,✭⚑,abfliegen [sound:googletts-d74c5ad4-4e374321-3bd920eb-f04381d4-647fe3f3.mp3],fly from,i-o-o,ich fliege ab&nbsp;<div>du fliegst ab&nbsp;</div><div>er/sie/es fliegt ab&nbsp;</div><div>wir fliegen ab&nbsp;</div><div>ihr fliegt ab&nbsp;</div><div>Sie fliegen ab</div>,ich flog ab ⚑<div>du flogst ab&nbsp;</div><div>er/sie/es flog ab ⚑</div><div>wir flogen ab&nbsp;</div><div>ihr flogt ab&nbsp;</div><div>Sie flogen ab</div>,ich werde abfliegen&nbsp;<div>du wirst abfliegen&nbsp;</div><div>er/sie/es wird abfliegen&nbsp;</div><div>wir werden abfliegen&nbsp;</div><div>ihr werdet abfliegen&nbsp;</div><div>Sie werden abfliegen</div>,ich habe/bin abgeflogen&nbsp;<div>du hast/bist abgeflogen&nbsp;</div><div>er/sie/es hat/ist abgeflogen&nbsp;</div><div>wir haben/sind abgeflogen&nbsp;</div><div>ihr habt/seid abgeflogen&nbsp;</div><div>Sie haben/sind abgeflogen</div>,haben / sein [sound:googletts-b5019b70-c8f36388-7c51ae9a-82e1b1a4-04cc39a8.mp3],to fly from [sound:googletts-1d1375bd-d0364c76-7749118d-9f97c811-f0d27899.mp3],When are you flying out? [sound:googletts-16074a73-0809b7b0-e5ca9b29-66a4650f-52942d70.mp3],Wann fliegst du ab? [sound:googletts-eb3a3c0c-1c889362-8ed13227-03a2a4a8-0c162150.mp3],
A1-VERB-3,A1,,abholen [sound:googletts-0498289b-456ad3b7-4d7bcc34-ea56a43a-f91d2dd8.mp3],pick up,,ich hole ab&nbsp;<div>du holst ab&nbsp;</div><div>er/sie/es holt ab&nbsp;</div><div>wir holen ab&nbsp;</div><div>ihr holt ab&nbsp;</div><div>Sie holen ab</div>,ich holte ab&nbsp;<div>du holtest ab&nbsp;</div><div>er/sie/es holte ab ⚑</div><div>wir holten ab&nbsp;</div><div>ihr holtet ab&nbsp;</div><div>Sie holten ab</div>,ich werde abholen&nbsp;<div>du wirst abholen&nbsp;</div><div>er/sie/es wird abholen&nbsp;</div><div>wir werden abholen&nbsp;</div><div>ihr werdet abholen&nbsp;</div><div>Sie werden abholen</div>,ich habe abgeholt&nbsp;<div>du hast abgeholt&nbsp;</div><div>er/sie/es hat abgeholt&nbsp;</div><div>wir haben abgeholt&nbsp;</div><div>ihr habt abgeholt&nbsp;</div><div>Sie haben abgeholt</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to pick up [sound:googletts-8c2e4c8a-59bb21c9-23e457b6-60f8f2ae-f392938d.mp3],When can I pick up the closet? [sound:googletts-2edc05e1-c57ab5a4-52973f75-b928a7b3-c7c7981d.mp3],Wann kann ich den Schrank bei dir abholen? [sound:googletts-e5d2dde7-64565a33-63b10ed9-2eca8519-22a636b4.mp3],
A1-VERB-4,A1,,abstammen [sound:googletts-283475ba-52cb52fa-294b636a-49867e79-e00e3711.mp3],descend,,ich stamme ab&nbsp;<div>du stammst ab&nbsp;</div><div>er/sie/es stammt ab&nbsp;</div><div>wir stammen ab&nbsp;</div><div>ihr stammt ab&nbsp;</div><div>Sie stammen ab</div>,ich stammte ab&nbsp;<div>du stammtest ab&nbsp;</div><div>er/sie/es stammte ab ⚑</div><div>wir stammten ab&nbsp;</div><div>ihr stammtet ab&nbsp;</div><div>Sie stammten ab</div>,ich werde abstammen&nbsp;<div>du wirst abstammen&nbsp;</div><div>er/sie/es wird abstammen&nbsp;</div><div>wir werden abstammen&nbsp;</div><div>ihr werdet abstammen&nbsp;</div><div>Sie werden abstammen</div>,ich habe abgestammt ⚑<div>du hast abgestammt&nbsp;</div><div>er/sie/es hat abgestammt&nbsp;</div><div>wir haben abgestammt&nbsp;</div><div>ihr habt abgestammt&nbsp;</div><div>Sie haben abgestammt</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to descend [sound:googletts-e939392c-0d3bafe5-a6bf6e68-d55b3ec7-8a2ef416.mp3],All today's Castlemilk Moorits are descendants from these few sheep. [sound:googletts-72a1e4a9-37e84110-f6bf5a28-e83dec38-5807f530.mp3],Alle heutigen Castlemilk Moorits werden aus diesen paar Schafe abstammen. [sound:googletts-50398040-ed7efed2-a921245e-b890a677-ca3cafcd.mp3],
A1-VERB-5,A1,⚑,anbieten [sound:googletts-71a9c249-7c1489eb-5bc8a1ac-e7db0e48-43662f2d.mp3],offer something,ie-o-o,ich biete an&nbsp;<div>du bietest an&nbsp;</div><div>er/sie/es bietet an&nbsp;</div><div>wir bieten an&nbsp;</div><div>ihr bietet an&nbsp;</div><div>Sie bieten an</div>,ich bot an&nbsp;<div>du botst an&nbsp;</div><div>er/sie/es bot an ⚑</div><div>wir boten an&nbsp;</div><div>ihr botet an&nbsp;</div><div>Sie boten an</div>,ich werde anbieten&nbsp;<div>du wirst anbieten&nbsp;</div><div>er/sie/es wird anbieten&nbsp;</div><div>wir werden anbieten&nbsp;</div><div>ihr werdet anbieten&nbsp;</div><div>Sie werden anbieten</div>,ich habe angeboten&nbsp;<div>du hast angeboten&nbsp;<div>er/sie/es hat angeboten&nbsp;</div><div>wir haben angeboten&nbsp;</div><div>ihr habt angeboten&nbsp;</div><div>Sie haben angeboten</div></div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to offer something&nbsp;[sound:googletts-576ee493-3ee051e4-5f746459-3dcc1a12-3d20d7d4.mp3],Can I offer you something? [sound:googletts-7747e6ed-b72e51a6-4e9b51cd-2484e08f-18e1bb7a.mp3],Was darf ich dir anbieten? [sound:googletts-f0637b85-aa3ebadb-ebee72c9-962a0a49-996a82fd.mp3],
A1-VERB-6,A1,⚑,anfangen [sound:googletts-045c1e26-a5844823-9bf36ce5-ba646109-0717ee91.mp3],begin or start off,a-i-a,ich fange an&nbsp;<div>du fängst an ⚑</div><div>er/sie/es fängt an ⚑</div><div>wir fangen an&nbsp;</div><div>ihr fangt an&nbsp;</div><div>Sie fangen an</div>,ich fing an&nbsp;<div>du fingst an&nbsp;</div><div>er/sie/es fing an&nbsp;</div><div>wir fingen an&nbsp;</div><div>ihr fingt an&nbsp;</div><div>Sie fingen an</div>,ich werde anfangen&nbsp;<div>du wirst anfangen&nbsp;</div><div>er/sie/es wird anfangen&nbsp;</div><div>wir werden anfangen&nbsp;</div><div>ihr werdet anfangen&nbsp;</div><div>Sie werden anfangen</div>,ich habe angefangen&nbsp;<div>du hast angefangen&nbsp;</div><div>er/sie/es hat angefangen&nbsp;</div><div>wir haben angefangen&nbsp;</div><div>ihr habt angefangen&nbsp;</div><div>Sie haben angefangen</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to begin or start off&nbsp;[sound:googletts-6917c5a8-4ff2903d-775df721-b2381929-4f4631d3.mp3],Here Bahnhofstrasse begins. [sound:googletts-b2a575ee-7867953d-54436106-506eedb0-15080e44.mp3],Hier fängt die Bahnhofstraße an. [sound:googletts-ad8d4d39-3b18d4a7-f0aa7bfb-5e2df2c4-4b8502e0.mp3],
A1-VERB-7,A1,,anklicken [sound:googletts-7370d8a9-907aa0d7-9a59161c-12ea7cd3-7376d19a.mp3],click,,ich klicke an&nbsp;<div>du klickst an&nbsp;</div><div>er/sie/es klickt an&nbsp;</div><div>wir klicken an&nbsp;</div><div>ihr klickt an&nbsp;</div><div>Sie klicken an</div>,ich klickte an&nbsp;<div>du klicktest an&nbsp;</div><div>er/sie/es klickte an&nbsp;</div><div>wir klickten an&nbsp;</div><div>ihr klicktet an&nbsp;</div><div>Sie klickten an</div>,ich werde anklicken&nbsp;<div>du wirst anklicken&nbsp;</div><div>er/sie/es wird anklicken&nbsp;</div><div>wir werden anklicken&nbsp;</div><div>ihr werdet anklicken&nbsp;</div><div>Sie werden anklicken</div>,ich habe angeklickt&nbsp;<div>du hast angeklickt&nbsp;</div><div>er/sie/es hat angeklickt&nbsp;</div><div>wir haben angeklickt&nbsp;</div><div>ihr habt angeklickt&nbsp;</div><div>Sie haben angeklickt</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to click [sound:googletts-ae59eb44-4401a633-796015e2-da50743f-e0f2025d.mp3],You have to click on this word. [sound:googletts-47b7a267-eb7dbabd-fb38f132-12571424-1c688707.mp3],Da musst du dieses Wort anklicken. [sound:googletts-821691aa-8f0a84f4-ad1c2324-8bea4ee7-4c64a5c5.mp3],
A1-VERB-8,A1,⚑,ankommen [sound:googletts-982099a6-99d9e2e8-c65aa9b2-90ca781b-7ef10038.mp3],arrive,o-a-o,ich komme an&nbsp;<div>du kommst an&nbsp;</div><div>er/sie/es kommt an</div><div>wir kommen an&nbsp;</div><div>ihr kommt an&nbsp;</div><div>Sie kommen an</div>,ich kam an&nbsp;<div>du kamst an&nbsp;</div><div>er/sie/es kam an ⚑</div><div>wir kamen an&nbsp;</div><div>ihr kamt an&nbsp;</div><div>Sie kamen an</div>,ich werde ankommen&nbsp;<div>du wirst ankommen&nbsp;</div><div>er/sie/es wird ankommen&nbsp;</div><div>wir werden ankommen&nbsp;</div><div>ihr werdet ankommen&nbsp;</div><div>Sie werden ankommen</div>,ich bin angekommen&nbsp;<div>du bist angekommen&nbsp;</div><div>er/sie/es ist angekommen&nbsp;</div><div>wir sind angekommen&nbsp;</div><div>ihr seid angekommen&nbsp;</div><div>Sie sind angekommen</div>,sein [sound:googletts-1e0bb217-bfaa5681-6faf3aef-7d74ead6-bf046ba2.mp3],to arrive [sound:googletts-25598b40-7e337644-2a469c78-730c9fce-766f31f9.mp3],When does this train arrive in Hamburg? [sound:googletts-2f6edf00-6e9b9f19-5e9dd56b-4bedeb40-9d1b557b.mp3],Wann kommt dieser Zug in Hamburg an? [sound:googletts-062db054-5e0cc75b-073082bf-0e136919-2418f01b.mp3],
A1-VERB-9,A1,,ankreuzen [sound:googletts-2792512e-34a22e62-39f52631-80ad1a45-1c2c3777.mp3],tick off,,ich kreuze an&nbsp;<div>du kreuzt an ⚑ &nbsp;</div><div>er/sie/es kreuzt an ⚑</div><div>wir kreuzen an&nbsp;</div><div>ihr kreuzt an&nbsp;</div><div>Sie kreuzen an</div>,ich kreuzte an&nbsp;<div>du kreuztest an&nbsp;</div><div>er/sie/es kreuzte an ⚑</div><div>wir kreuzten an&nbsp;</div><div>ihr kreuztet an&nbsp;</div><div>Sie kreuzten an</div>,ich werde ankreuzen&nbsp;<div>du wirst ankreuzen&nbsp;</div><div>er/sie/es wird ankreuzen&nbsp;</div><div>wir werden ankreuzen&nbsp;</div><div>ihr werdet ankreuzen&nbsp;</div><div>Sie werden ankreuzen</div>,ich habe angekreuzt ⚑<div>du hast angekreuzt&nbsp;</div><div>er/sie/es hat angekreuzt&nbsp;</div><div>wir haben angekreuzt&nbsp;</div><div>ihr habt angekreuzt&nbsp;</div><div>Sie haben angekreuzt</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to tick off [sound:googletts-dfab81a9-14b0b2b8-709fc6ba-4cbd51ad-55b281af.mp3],You have to tick on several places on the form. [sound:googletts-20471eba-37d6aea4-9bc823eb-c2ff985f-617ff7aa.mp3],Auf dem Formular müssen Sie an mehreren Stellen etwas ankreuzen. [sound:googletts-db9ce6e7-ac5c1dc2-e3ba4d3f-d3b7aa8f-3e795431.mp3],
A1-VERB-10,A1,,anmachen [sound:googletts-d0f80777-936da2eb-42a0fdbc-286f1a8d-30ebfa6e.mp3],turn on,,ich mache an&nbsp;<div>du machst an&nbsp;</div><div>er/sie/es macht an&nbsp;</div><div>wir machen an&nbsp;</div><div>ihr macht an&nbsp;</div><div>Sie machen an</div>,ich machte an&nbsp;<div>du machtest an&nbsp;</div><div>er/sie/es machte an ⚑</div><div>wir machten an&nbsp;</div><div>ihr machtet an&nbsp;</div><div>Sie machten an</div>,ich werde anmachen&nbsp;<div>du wirst anmachen&nbsp;</div><div>er/sie/es wird anmachen&nbsp;</div><div>wir werden anmachen</div><div>ihr werdet anmachen&nbsp;</div><div>Sie werden anmachen</div>,ich habe angemacht&nbsp;<div>du hast angemacht&nbsp;</div><div>er/sie/es hat angemacht&nbsp;</div><div>wir haben angemacht&nbsp;</div><div>ihr habt angemacht&nbsp;</div><div>Sie haben angemacht</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to turn on [sound:googletts-a67aaaae-9c179835-3c9069bb-c8ba8359-d0760894.mp3],Please turn on the light! [sound:googletts-7075cb26-d16bda6f-c5c48b80-d561835e-8018cf95.mp3],Mach bitte das Licht an! [sound:googletts-340d0b5f-2230e0d8-3a81d0b5-7e2bb429-5da721e7.mp3],
A1-VERB-11,A1,,anmelden (sich)&nbsp;[sound:googletts-6b32f746-53982515-58873c6c-e8e7bbd3-38a410a9.mp3],sign in,,ich melde an&nbsp;<div>du meldest an&nbsp;</div><div>er/sie/es meldet an&nbsp;&nbsp;</div><div>wir melden an&nbsp;</div><div>ihr meldet an&nbsp;&nbsp;</div><div>Sie melden an</div>,ich meldete an ⚑<div>du meldetest an&nbsp;</div><div>er/sie/es meldete an ⚑</div><div>wir meldeten an&nbsp;</div><div>ihr meldetet an&nbsp;</div><div>Sie meldeten an</div>,ich werde anmelden&nbsp;<div>du wirst anmelden&nbsp;</div><div>er/sie/es wird anmelden&nbsp;</div><div>wir werden anmelden&nbsp;</div><div>ihr werdet anmelden&nbsp;</div><div>Sie werden anmelden</div>,ich habe angemeldet ⚑<div>du hast angemeldet&nbsp;</div><div>er/sie/es hat angemeldet&nbsp;</div><div>wir haben angemeldet&nbsp;</div><div>ihr habt angemeldet&nbsp;</div><div>Sie haben angemeldet</div>,haben [sound:googletts-d645da84-e832ed18-9b8cf121-3cd221a5-74132fa2.mp3],to sign in [sound:googletts-59bf6094-f657d545-8794db39-5a4bcd86-99c06363.mp3],Where can I sign in? [sound:googletts-345d6963-86ca09b3-22830a9e-0a67f527-12a599a7.mp3],Wo kann ich mich anmelden? [sound:googletts-46e2eb18-d323d68a-96f9cd51-91ff2fa5-5cd9871f.mp3],
